,date,spot_tday,spot_yday,log_return,vol_annual_estimate,HMM_state,p_calm_tday,p_stressed_tday
0,2019-01-01,3.740299940109253,3.756850004196167,-0.004415035338338841,0.1037473872977376,1,3.1018003436693873e-15,0.9999999999999969
1,2019-01-02,3.7400999069213867,3.740299940109253,-5.3481950699004375e-05,0.1037473872977376,1,0.02230037008411189,0.9776996299158881
2,2019-01-03,3.7976999282836914,3.7400999069213867,0.015283277294375175,0.1037473872977376,1,0.02325971564727767,0.9767402843527224
3,2019-01-04,3.7655999660491943,3.7976999282836914,-0.008488399355858435,0.1037473872977376,1,0.23897214224947683,0.7610278577505232
4,2019-01-07,3.7603800296783447,3.7655999660491943,-0.001387178071389317,0.1037473872977376,0,0.5610038079967703,0.4389961920032296
5,2019-01-08,3.74111008644104,3.7603800296783447,-0.005137642075222353,0.1037473872977376,0,0.7097271018282323,0.29027289817176766
6,2019-01-09,3.75,3.74111008644104,0.002373458040177183,0.1037473872977376,0,0.8129957497554109,0.18700425024458922
7,2019-01-10,3.722899913787842,3.75,-0.007252928668828435,0.1037473872977376,0,0.8634199959186758,0.13658000408132426
8,2019-01-11,3.7322299480438232,3.722899913787842,0.0025029850049299307,0.1037473872977376,0,0.923616259868227,0.07638374013177289
9,2019-01-14,3.743259906768799,3.7322299480438232,0.002950968282605212,0.1037473872977376,0,0.9546104339567896,0.04538956604321049
10,2019-01-15,3.738529920578003,3.743259906768799,-0.0012643998107678893,0.1037473872977376,0,0.9714022630488116,0.028597736951188488
11,2019-01-16,3.759429931640625,3.738529920578003,0.005574867191626236,0.1037473872977376,0,0.9774702090543299,0.02252979094567006
12,2019-01-17,3.7555201053619385,3.759429931640625,-0.001040546274349433,0.1037473872977376,0,0.9859021927689922,0.014097807231007871
13,2019-01-18,3.762589931488037,3.7555201053619385,0.0018807461384306124,0.1037473872977376,0,0.9892110867026381,0.010788913297361908
14,2019-01-21,3.7737998962402344,3.762589931488037,0.0029748920307398653,0.1037473872977376,0,0.990224137076394,0.009775862923605997
15,2019-01-22,3.767199993133545,3.7737998962402344,-0.0017504057521923809,0.1037473872977376,0,0.9906060877993236,0.009393912200676474
16,2019-01-23,3.7715001106262207,3.767199993133545,0.0011408115191893918,0.1037473872977376,0,0.9889478096833533,0.01105219031664673
17,2019-01-24,3.7669999599456787,3.7715001106262207,-0.0011939115667482282,0.1037473872977376,0,0.9841827663859412,0.015817233614058818
18,2019-01-25,3.7901999950408936,3.7669999599456787,0.006139868765216105,0.1037473872977376,0,0.9731856885240537,0.026814311475946196
19,2019-01-28,3.7549500465393066,3.7901999950408936,-0.009343804899831625,0.1037473872977376,0,0.9664884018613396,0.03351159813866036
20,2019-01-29,3.7546401023864746,3.7549500465393066,-8.254622339205055e-05,0.1037473872977376,0,0.9790409565710623,0.02095904342893779
21,2019-01-30,3.7546401023864746,3.7546401023864746,0.0,0.1037473872977376,0,0.9834052151833732,0.016594784816626768
22,2019-01-31,3.72979998588562,3.7546401023864746,-0.0066378265879566715,0.1037473872977376,0,0.9823965594430445,0.017603440556955605
23,2019-02-01,3.723400115966797,3.72979998588562,-0.0017173486299269806,0.1037473872977376,0,0.9863383388803143,0.013661661119685696
24,2019-02-04,3.7391300201416016,3.723400115966797,0.004215708930926533,0.1037473872977376,0,0.9864450529238843,0.013554947076115789
25,2019-02-05,3.745990037918091,3.7391300201416016,0.001832975194510664,0.1037473872977376,0,0.9868971834880397,0.013102816511960248
26,2019-02-06,3.757200002670288,3.745990037918091,0.002988055222435269,0.1037473872977376,0,0.9842589718032456,0.01574102819675444
27,2019-02-07,3.778670072555542,3.757200002670288,0.00569811521766631,0.1037473872977376,0,0.978887061357909,0.02111293864209105
28,2019-02-08,3.7972099781036377,3.778670072555542,0.004894465708437898,0.1037473872977376,0,0.9766104942915522,0.02338950570844781
29,2019-02-11,3.8059499263763428,3.7972099781036377,0.0022990315164018657,0.1037473872977376,0,0.9747162918334483,0.02528370816655168
30,2019-02-12,3.83270001411438,3.8059499263763428,0.0070039070510726515,0.1037473872977376,0,0.9664267288694576,0.033573271130542454
31,2019-02-13,3.8174800872802734,3.83270001411438,-0.003978977413045355,0.1037473872977376,0,0.9664566904528072,0.033543309547192826
32,2019-02-14,3.850800037384033,3.8174800872802734,0.008690386700326694,0.1037473872977376,0,0.9614054845200811,0.038594515479918795
33,2019-02-15,3.832900047302246,3.850800037384033,-0.004659219455745976,0.1037473872977376,0,0.9752009187054265,0.024799081294573522
34,2019-02-18,3.8336000442504883,3.832900047302246,0.00018261186769139595,0.1037473872977376,0,0.9856475086767127,0.014352491323287388
35,2019-02-19,3.8276000022888184,3.8336000442504883,-0.0015663455207929455,0.1037473872977376,0,0.9902378915140972,0.009762108485902699
36,2019-02-20,3.8174500465393066,3.8276000022888184,-0.0026553028818173978,0.1037473872977376,0,0.992213294408911,0.007786705591088982
37,2019-02-21,3.816999912261963,3.8174500465393066,-0.00011792186216279488,0.1037473872977376,0,0.9934489764002757,0.006551023599724164
38,2019-02-22,3.820319890975952,3.816999912261963,0.0008694094286073525,0.1037473872977376,0,0.9936009983810978,0.006399001618902233
39,2019-02-25,3.8262999057769775,3.820319890975952,0.0015640939863874209,0.1037473872977376,0,0.9929639140029803,0.007036085997019623
40,2019-02-26,3.815840005874634,3.8262999057769775,-0.002737428666591303,0.1037473872977376,0,0.9915080458754967,0.008491954124503258
41,2019-02-27,3.7939000129699707,3.815840005874634,-0.0057663083477048375,0.1037473872977376,0,0.9890540459816771,0.010945954018322893
42,2019-02-28,3.790800094604492,3.7939000129699707,-0.0008174136074246769,0.1037473872977376,0,0.9897418008250541,0.01025819917494584
43,2019-03-01,3.783099889755249,3.790800094604492,-0.002033353363049948,0.1037473872977376,0,0.9876118488624979,0.012388151137502112
44,2019-03-04,3.7841999530792236,3.783099889755249,0.0002907413092042321,0.1037473872977376,0,0.9820768300218239,0.017923169978176105
45,2019-03-05,3.7892000675201416,3.7841999530792236,0.0013204413219479023,0.1037473872977376,0,0.9689791857846606,0.031020814215339514
46,2019-03-06,3.802649974822998,3.7892000675201416,0.003543252645770979,0.1037473872977376,0,0.9413322931881702,0.05866770681182972
47,2019-03-07,3.7985599040985107,3.802649974822998,-0.0010761631856960909,0.1037473872977376,0,0.8955577414879213,0.1044422585120786
