,Daily mean,Daily std,Estimated Annualised vol,P(stay in regime),P(switch),Avg duration of vol regime (days),Portion of time spent in each regime
Calm,-0.00012266840693711146,0.004698310496184835,0.07458336693041734,0.9672555164183678,0.032744483581632,30.53949522541713,74.28878153515835
Stressed,0.0002107393743531473,0.009660103149620987,0.15334938343877347,0.9177363057801753,0.08226369421982484,12.156030792001664,25.71121846484165
